_id,_labels,id,name,type,_start,_end,_type
1,:E53_Place,1,Kuching River,,,,
2,:E53_Place,2,Sungai Kuching,,,,
3,:E53_Place,3,Reservoir Park,,,,
4,:E53_Place,4,Jalan Tunku Abdul Rahman,,,,
5,:E53_Place,5,Tua Pek Kong Temple,,,,
6,:E53_Place,6,old Chinese Chamber of Commerce,,,,
7,:E53_Place,7,Sungai Sarawak,,,,
8,:E92_Spacetime_Volume,8,1928,,,,
9,:E53_Place,9,Temple Street,,,,
10,:E92_Spacetime_Volume,10,early 1800s,,,,
,,,,,1,3,P27_moved_from
,,,,,1,7,P26_moved_to
,,,,,1,8,P184i_ends_with_or_after_the_end_of
,,,,,1,9,P93i_was_taken_out_of_existence_by
,,,,,2,1,P67_refers_to
,,,,,4,3,P67_refers_to
,,,,,5,9,P59i_is_located_on_or_within
,,,,,5,10,P175_starts_before_or_with_the_start_of
